locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHJAIAPH_00046	tRNA	77				tRNA-Pro(cgg)
MHJAIAPH_00047	CDS	117				hypothetical protein
MHJAIAPH_00048	CDS	1155	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
MHJAIAPH_00049	CDS	1584	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
MHJAIAPH_00050	CDS	1746	cydD		COG4988	ATP-binding/permease protein CydD
MHJAIAPH_00051	CDS	1674			COG1132	putative ABC transporter ATP-binding/permease protein
MHJAIAPH_00052	CDS	345				hypothetical protein
MHJAIAPH_00053	CDS	1113		2.3.1.-		Serine O-succinyltransferase
MHJAIAPH_00054	CDS	987				hypothetical protein
MHJAIAPH_00055	CDS	450				hypothetical protein
MHJAIAPH_00056	CDS	618	resA_1			Thiol-disulfide oxidoreductase ResA
MHJAIAPH_00057	CDS	1920	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
MHJAIAPH_00058	CDS	462	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
MHJAIAPH_00059	CDS	189				hypothetical protein
MHJAIAPH_00060	CDS	771	ccmC		COG0755	Heme exporter protein C
MHJAIAPH_00061	CDS	696	ccmB		COG2386	Heme exporter protein B
MHJAIAPH_00062	CDS	630	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
MHJAIAPH_00063	CDS	1149	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
MHJAIAPH_00064	CDS	807	yafV	3.5.1.3		Omega-amidase YafV
MHJAIAPH_00065	CDS	435				hypothetical protein
MHJAIAPH_00066	CDS	294				hypothetical protein
MHJAIAPH_00067	CDS	408				hypothetical protein
MHJAIAPH_00068	CDS	1155	ydhC_1			Inner membrane transport protein YdhC
MHJAIAPH_00069	CDS	789	nimR_1			HTH-type transcriptional regulator NimR
MHJAIAPH_00070	CDS	1698				hypothetical protein
MHJAIAPH_00071	CDS	876	scpB			Segregation and condensation protein B
MHJAIAPH_00072	CDS	906	scpA			Segregation and condensation protein A
MHJAIAPH_00073	CDS	306	yciI		COG2350	Protein YciI
MHJAIAPH_00074	CDS	276	bolA		COG0271	DNA-binding transcriptional regulator BolA
MHJAIAPH_00075	CDS	1023	ccpA_1		COG1609	Catabolite control protein A
MHJAIAPH_00076	CDS	3087				hypothetical protein
MHJAIAPH_00077	CDS	1605				hypothetical protein
MHJAIAPH_00078	CDS	1341	dasA		COG1653	Diacetylchitobiose binding protein DasA
MHJAIAPH_00079	CDS	882	lacF			Lactose transport system permease protein LacF
MHJAIAPH_00080	CDS	837	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
MHJAIAPH_00081	CDS	3168				hypothetical protein
MHJAIAPH_00082	CDS	888				hypothetical protein
MHJAIAPH_00083	CDS	3312	rne	3.1.26.12		Ribonuclease E
MHJAIAPH_00084	CDS	975	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
MHJAIAPH_00085	CDS	810	zupT		COG0428	Zinc transporter ZupT
MHJAIAPH_00086	CDS	417				hypothetical protein
MHJAIAPH_00087	CDS	351		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
MHJAIAPH_00088	CDS	600	nfuA		COG0316	Fe/S biogenesis protein NfuA
MHJAIAPH_00089	CDS	1767				hypothetical protein
MHJAIAPH_00090	CDS	414				hypothetical protein
MHJAIAPH_00091	CDS	453				hypothetical protein
MHJAIAPH_00092	CDS	612	sodB_1	1.15.1.1		Superoxide dismutase [Mn/Fe]
MHJAIAPH_00093	CDS	837				hypothetical protein
MHJAIAPH_00094	CDS	1566	dtpT		COG3104	Di-/tripeptide transporter
MHJAIAPH_00095	CDS	627				hypothetical protein
MHJAIAPH_00096	CDS	162				hypothetical protein
MHJAIAPH_00097	CDS	303				hypothetical protein
MHJAIAPH_00098	CDS	882				hypothetical protein
MHJAIAPH_00099	CDS	1116	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
MHJAIAPH_00100	CDS	2139	dcp_1	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
MHJAIAPH_00101	CDS	480	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
MHJAIAPH_00102	CDS	561	resA_2			Thiol-disulfide oxidoreductase ResA
MHJAIAPH_00103	CDS	780	fpr	1.18.1.2	COG1018	Ferredoxin--NADP reductase
MHJAIAPH_00104	CDS	1872	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MHJAIAPH_00105	CDS	450				hypothetical protein
MHJAIAPH_00106	CDS	897	sigJ_1			ECF RNA polymerase sigma factor SigJ
MHJAIAPH_00107	CDS	1518	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
MHJAIAPH_00108	CDS	336				hypothetical protein
MHJAIAPH_00109	CDS	636	gst_1	2.5.1.18	COG0625	Glutathione S-transferase GST-4.5
MHJAIAPH_00110	CDS	342	arsC_1	1.20.4.1		Arsenate reductase
MHJAIAPH_00111	CDS	1155		3.1.1.32	COG2829	Putative phospholipase A1
MHJAIAPH_00112	CDS	486				hypothetical protein
MHJAIAPH_00113	CDS	210	cspA_1		COG1278	Major cold shock protein CspA
MHJAIAPH_00114	CDS	495				hypothetical protein
MHJAIAPH_00115	CDS	435				hypothetical protein
MHJAIAPH_00116	CDS	828	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
MHJAIAPH_00117	CDS	774	yjjV_1	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
MHJAIAPH_00118	CDS	216				hypothetical protein
MHJAIAPH_00119	CDS	840				hypothetical protein
MHJAIAPH_00120	CDS	543				hypothetical protein
MHJAIAPH_00121	CDS	741				hypothetical protein
MHJAIAPH_00122	CDS	2280	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
MHJAIAPH_00123	CDS	1944	asnB_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
MHJAIAPH_00124	CDS	561		1.6.5.7		2-hydroxy-1,4-benzoquinone reductase
MHJAIAPH_00125	CDS	1431	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
MHJAIAPH_00126	CDS	2244	btuB_1			Vitamin B12 transporter BtuB
MHJAIAPH_00127	CDS	1590	phoD_1	3.1.3.1	COG3540	Alkaline phosphatase D
MHJAIAPH_00128	CDS	213				hypothetical protein
MHJAIAPH_00129	CDS	249				hypothetical protein
MHJAIAPH_00130	CDS	1437	lpd_1	1.8.1.4		Dihydrolipoyl dehydrogenase
MHJAIAPH_00131	CDS	1203	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
MHJAIAPH_00132	CDS	2832	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
MHJAIAPH_00133	CDS	903				hypothetical protein
MHJAIAPH_00134	CDS	1416				hypothetical protein
MHJAIAPH_00135	CDS	1368	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
MHJAIAPH_00136	CDS	1428	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
MHJAIAPH_00137	CDS	426				hypothetical protein
MHJAIAPH_00138	CDS	618				hypothetical protein
MHJAIAPH_00139	CDS	888				hypothetical protein
MHJAIAPH_00140	tRNA	80				tRNA-Ile(gat)
MHJAIAPH_00141	CDS	891	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MHJAIAPH_00142	CDS	360				hypothetical protein
MHJAIAPH_00143	CDS	237				hypothetical protein
MHJAIAPH_00144	CDS	588	btuE_1	1.11.1.15		Thioredoxin/glutathione peroxidase BtuE
MHJAIAPH_00145	CDS	978				hypothetical protein
MHJAIAPH_00146	CDS	1350	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
MHJAIAPH_00147	CDS	240	slyX		COG2900	Protein SlyX 
MHJAIAPH_00148	CDS	693				hypothetical protein
MHJAIAPH_00149	CDS	2073				hypothetical protein
MHJAIAPH_00150	CDS	1185				hypothetical protein
MHJAIAPH_00151	CDS	2685	metH_1	2.1.1.13	COG0646	Methionine synthase
MHJAIAPH_00152	CDS	1092	metH_2	2.1.1.13	COG0646	Methionine synthase
MHJAIAPH_00153	CDS	930	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MHJAIAPH_00154	CDS	1149	bcd_1	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
MHJAIAPH_00155	CDS	288				hypothetical protein
MHJAIAPH_00156	CDS	3174	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
MHJAIAPH_00157	CDS	1269	mexA_1			Multidrug resistance protein MexA
MHJAIAPH_00158	CDS	657				hypothetical protein
MHJAIAPH_00159	CDS	4977	gdh_1	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
MHJAIAPH_00160	CDS	774	NADK	2.7.1.23	COG0061	NAD kinase
MHJAIAPH_00161	CDS	945				hypothetical protein
MHJAIAPH_00162	CDS	552				hypothetical protein
MHJAIAPH_00163	CDS	981	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
MHJAIAPH_00164	CDS	687				hypothetical protein
MHJAIAPH_00165	CDS	1440	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
MHJAIAPH_00166	CDS	1368	kmo_1	1.14.13.9		Kynurenine 3-monooxygenase
MHJAIAPH_00167	CDS	1275	kynU	3.7.1.3		Kynureninase
MHJAIAPH_00168	CDS	522	nbaC	1.13.11.6		3-hydroxyanthranilate 3,4-dioxygenase
MHJAIAPH_00169	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
MHJAIAPH_00170	CDS	639	paiB		COG2808	Protease synthase and sporulation protein PAI 2
MHJAIAPH_00171	CDS	315				hypothetical protein
MHJAIAPH_00172	CDS	300				hypothetical protein
MHJAIAPH_00173	CDS	1395	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
MHJAIAPH_00174	CDS	339	sufA		COG0316	Protein SufA
MHJAIAPH_00175	CDS	543				hypothetical protein
MHJAIAPH_00176	CDS	438	rpsF		COG0360	30S ribosomal protein S6
MHJAIAPH_00177	CDS	231	rpsR		COG0238	30S ribosomal protein S18
MHJAIAPH_00178	CDS	453	rplI_1		COG0359	50S ribosomal protein L9
MHJAIAPH_00179	CDS	3504	smc_1		COG1196	Chromosome partition protein Smc
MHJAIAPH_00180	CDS	741	zipA			Cell division protein ZipA
MHJAIAPH_00181	CDS	1125	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
MHJAIAPH_00182	CDS	2466	ligA	6.5.1.2		DNA ligase
MHJAIAPH_00183	CDS	486	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
MHJAIAPH_00184	CDS	957	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
MHJAIAPH_00185	CDS	744				hypothetical protein
MHJAIAPH_00186	CDS	1065	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
MHJAIAPH_00187	CDS	2715	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MHJAIAPH_00188	CDS	2523	bamB_1			Outer membrane protein assembly factor BamB
MHJAIAPH_00189	CDS	990	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
MHJAIAPH_00190	CDS	906	dmlR_1			HTH-type transcriptional regulator DmlR
MHJAIAPH_00191	CDS	510				hypothetical protein
MHJAIAPH_00192	CDS	1431	dap_1	3.4.11.19		D-aminopeptidase
MHJAIAPH_00193	CDS	393				hypothetical protein
MHJAIAPH_00194	CDS	777				hypothetical protein
MHJAIAPH_00195	CDS	1425				hypothetical protein
MHJAIAPH_00196	CDS	507				hypothetical protein
MHJAIAPH_00197	CDS	330				hypothetical protein
MHJAIAPH_00198	CDS	2463				hypothetical protein
MHJAIAPH_00199	CDS	288				hypothetical protein
MHJAIAPH_00200	CDS	984				hypothetical protein
MHJAIAPH_00201	CDS	960				hypothetical protein
MHJAIAPH_00202	CDS	789				hypothetical protein
MHJAIAPH_00203	CDS	885	gcvA_1			Glycine cleavage system transcriptional activator
MHJAIAPH_00204	CDS	1134	aguA_1	3.5.3.12	COG2957	Agmatine deiminase
MHJAIAPH_00205	CDS	546				hypothetical protein
MHJAIAPH_00206	CDS	576			COG1309	putative HTH-type transcriptional regulator
MHJAIAPH_00207	CDS	528				hypothetical protein
MHJAIAPH_00208	CDS	2112	btuB_2			Vitamin B12 transporter BtuB
MHJAIAPH_00209	CDS	1437	dap_2	3.4.11.19		D-aminopeptidase
MHJAIAPH_00210	CDS	1668	hutU	4.2.1.49	COG2987	Urocanate hydratase
MHJAIAPH_00211	CDS	855				hypothetical protein
MHJAIAPH_00212	CDS	1542	hutH_1	4.3.1.3		Histidine ammonia-lyase
MHJAIAPH_00213	CDS	1224	hutI_1	3.5.2.7	COG1228	Imidazolonepropionase
MHJAIAPH_00214	CDS	1371		3.5.4.32	COG0402	8-oxoguanine deaminase
MHJAIAPH_00215	CDS	729	nagR		COG2188	HTH-type transcriptional repressor NagR
MHJAIAPH_00216	CDS	1005				hypothetical protein
MHJAIAPH_00217	CDS	492				hypothetical protein
MHJAIAPH_00218	CDS	276				hypothetical protein
MHJAIAPH_00219	CDS	807				hypothetical protein
MHJAIAPH_00220	CDS	1086	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
MHJAIAPH_00221	CDS	1200	pheA			Bifunctional chorismate mutase/prephenate dehydratase
MHJAIAPH_00222	CDS	1308	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
MHJAIAPH_00223	CDS	573				hypothetical protein
MHJAIAPH_00224	CDS	639				hypothetical protein
MHJAIAPH_00225	CDS	1281	serS	6.1.1.11	COG0172	Serine--tRNA ligase
MHJAIAPH_00226	CDS	351				hypothetical protein
MHJAIAPH_00227	CDS	588	azoR1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
MHJAIAPH_00228	CDS	993	dmlR_2			HTH-type transcriptional regulator DmlR
MHJAIAPH_00229	CDS	1068				hypothetical protein
MHJAIAPH_00230	tRNA	90				tRNA-Ser(tga)
MHJAIAPH_00231	CDS	1254				hypothetical protein
MHJAIAPH_00232	CDS	2754	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
MHJAIAPH_00233	CDS	210				hypothetical protein
MHJAIAPH_00234	CDS	321				hypothetical protein
MHJAIAPH_00235	CDS	990	acuI_1	1.3.1.84	COG0604	Acrylyl-CoA reductase AcuI
MHJAIAPH_00236	CDS	348	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
MHJAIAPH_00237	CDS	756				hypothetical protein
MHJAIAPH_00238	CDS	1326				hypothetical protein
MHJAIAPH_00239	CDS	456				hypothetical protein
MHJAIAPH_00240	CDS	378				hypothetical protein
MHJAIAPH_00241	CDS	387				hypothetical protein
MHJAIAPH_00242	CDS	1971	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
MHJAIAPH_00243	CDS	1191	macA_1		COG0845	Macrolide export protein MacA
MHJAIAPH_00244	CDS	450				hypothetical protein
MHJAIAPH_00245	CDS	1350	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MHJAIAPH_00246	CDS	759	rssB_1			Swarming motility regulation protein RssB
MHJAIAPH_00247	CDS	282				hypothetical protein
MHJAIAPH_00248	CDS	471	slyB		COG3133	Outer membrane lipoprotein SlyB
MHJAIAPH_00249	CDS	240				hypothetical protein
MHJAIAPH_00250	CDS	2136	cntO_1			Metal-pseudopaline receptor CntO
MHJAIAPH_00251	CDS	1827				hypothetical protein
MHJAIAPH_00252	CDS	639				hypothetical protein
MHJAIAPH_00253	CDS	1530	rox			Rifampicin monooxygenase
MHJAIAPH_00254	CDS	246				hypothetical protein
MHJAIAPH_00255	CDS	348				hypothetical protein
MHJAIAPH_00256	CDS	477				hypothetical protein
MHJAIAPH_00257	CDS	1239	namA_1	1.6.99.1		NADPH dehydrogenase
MHJAIAPH_00258	CDS	480				hypothetical protein
MHJAIAPH_00259	CDS	1212	ydhP_1		COG2814	Inner membrane transport protein YdhP
MHJAIAPH_00260	CDS	258				hypothetical protein
MHJAIAPH_00261	CDS	1680	virD4			Protein VirD4
MHJAIAPH_00262	CDS	549				hypothetical protein
MHJAIAPH_00263	CDS	1062				hypothetical protein
MHJAIAPH_00264	CDS	780	ptlF		COG3504	Type IV secretion system protein PtlF
MHJAIAPH_00265	CDS	1242			COG2948	Type IV secretion system protein virB10
MHJAIAPH_00266	CDS	1044				Type IV secretion system protein VirB11
MHJAIAPH_00267	CDS	978				hypothetical protein
MHJAIAPH_00268	CDS	405	virB2			Type IV secretion system protein virB2
MHJAIAPH_00269	CDS	267				hypothetical protein
MHJAIAPH_00270	CDS	2448	virB4			Type IV secretion system protein virB4
MHJAIAPH_00271	CDS	828				hypothetical protein
MHJAIAPH_00272	CDS	1215				hypothetical protein
MHJAIAPH_00273	CDS	849				hypothetical protein
MHJAIAPH_00274	CDS	537				hypothetical protein
MHJAIAPH_00275	CDS	1005				hypothetical protein
MHJAIAPH_00276	CDS	1329				hypothetical protein
MHJAIAPH_00277	CDS	654				hypothetical protein
MHJAIAPH_00278	CDS	657				hypothetical protein
MHJAIAPH_00279	CDS	507				hypothetical protein
MHJAIAPH_00280	CDS	207				hypothetical protein
MHJAIAPH_00281	CDS	510	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
MHJAIAPH_00282	CDS	768	kefF_1	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
MHJAIAPH_00283	CDS	360	yybR_2		COG1733	putative HTH-type transcriptional regulator YybR
MHJAIAPH_00284	CDS	525	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MHJAIAPH_00285	CDS	573	orn	3.1.-.-	COG1949	Oligoribonuclease
MHJAIAPH_00286	CDS	873				hypothetical protein
MHJAIAPH_00287	CDS	1116	nemA_1	1.3.1.-	COG1902	N-ethylmaleimide reductase
MHJAIAPH_00288	CDS	894	mscS		COG0668	Small-conductance mechanosensitive channel
MHJAIAPH_00289	CDS	2379	ppsA	2.7.9.2		Phosphoenolpyruvate synthase
MHJAIAPH_00290	CDS	822	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
MHJAIAPH_00291	CDS	510				hypothetical protein
MHJAIAPH_00292	CDS	489	mutX	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
MHJAIAPH_00293	CDS	702	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MHJAIAPH_00294	CDS	615				hypothetical protein
MHJAIAPH_00295	CDS	1080	phaE			Poly(3-hydroxyalkanoate) polymerase subunit PhaE
MHJAIAPH_00296	CDS	1068	phaC	2.3.1.-	COG3243	Poly(3-hydroxyalkanoate) polymerase subunit PhaC
MHJAIAPH_00297	CDS	372				hypothetical protein
MHJAIAPH_00298	CDS	204				hypothetical protein
MHJAIAPH_00299	CDS	441				hypothetical protein
MHJAIAPH_00300	CDS	216				hypothetical protein
MHJAIAPH_00301	CDS	2388	yhgF		COG2183	Protein YhgF
MHJAIAPH_00302	CDS	2190				hypothetical protein
MHJAIAPH_00303	CDS	231				hypothetical protein
MHJAIAPH_00304	CDS	1089				hypothetical protein
MHJAIAPH_00305	CDS	546				hypothetical protein
MHJAIAPH_00306	CDS	1827				hypothetical protein
MHJAIAPH_00307	CDS	1440				hypothetical protein
MHJAIAPH_00308	CDS	543				hypothetical protein
MHJAIAPH_00309	tRNA	86				tRNA-Leu(caa)
MHJAIAPH_00310	CDS	381				hypothetical protein
MHJAIAPH_00311	CDS	258				hypothetical protein
MHJAIAPH_00312	CDS	957				hypothetical protein
MHJAIAPH_00313	CDS	417				hypothetical protein
MHJAIAPH_00314	tRNA	76				tRNA-Glu(ttc)
MHJAIAPH_00315	tRNA	76				tRNA-Ala(ggc)
MHJAIAPH_00316	tRNA	76				tRNA-Glu(ttc)
MHJAIAPH_00317	tRNA	76				tRNA-Ala(ggc)
MHJAIAPH_00318	tRNA	76				tRNA-Glu(ttc)
MHJAIAPH_00319	tRNA	76				tRNA-Ala(ggc)
MHJAIAPH_00320	tRNA	76				tRNA-Glu(ttc)
MHJAIAPH_00321	tRNA	76				tRNA-Ala(ggc)
MHJAIAPH_00322	tRNA	76				tRNA-Glu(ttc)
MHJAIAPH_00323	tRNA	76				tRNA-Ala(ggc)
MHJAIAPH_00324	CDS	399	zntR		COG0789	HTH-type transcriptional regulator ZntR
MHJAIAPH_00325	CDS	1068	rhaR_1			HTH-type transcriptional activator RhaR
MHJAIAPH_00326	CDS	804	resA_3			Thiol-disulfide oxidoreductase ResA
MHJAIAPH_00327	CDS	843	dsbG_1		COG1651	Thiol:disulfide interchange protein DsbG
MHJAIAPH_00328	CDS	1434				hypothetical protein
MHJAIAPH_00329	CDS	1353	adiC		COG0531	Arginine/agmatine antiporter
MHJAIAPH_00330	CDS	2289	adiA	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
MHJAIAPH_00331	CDS	903	zitB			Zinc transporter ZitB
MHJAIAPH_00332	CDS	714				hypothetical protein
MHJAIAPH_00333	CDS	801				hypothetical protein
MHJAIAPH_00334	CDS	2472				hypothetical protein
MHJAIAPH_00335	CDS	927				hypothetical protein
MHJAIAPH_00336	CDS	510	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
MHJAIAPH_00337	CDS	507				hypothetical protein
MHJAIAPH_00338	CDS	225				hypothetical protein
MHJAIAPH_00339	CDS	702				hypothetical protein
MHJAIAPH_00340	CDS	774			COG0325	Pyridoxal phosphate homeostasis protein
MHJAIAPH_00341	CDS	1287	ptsJ_1		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
MHJAIAPH_00342	CDS	507				hypothetical protein
MHJAIAPH_00343	CDS	3111	dnaE2	2.7.7.7		Error-prone DNA polymerase
MHJAIAPH_00344	CDS	1410	imuB			Protein ImuB
MHJAIAPH_00345	CDS	615	sulA			Cell division inhibitor SulA
MHJAIAPH_00346	CDS	1008				hypothetical protein
MHJAIAPH_00347	CDS	651				hypothetical protein
MHJAIAPH_00348	CDS	951	dmlR_3			HTH-type transcriptional regulator DmlR
MHJAIAPH_00349	CDS	891				hypothetical protein
MHJAIAPH_00350	CDS	705				hypothetical protein
MHJAIAPH_00351	CDS	435				hypothetical protein
MHJAIAPH_00352	CDS	2820				hypothetical protein
MHJAIAPH_00353	CDS	897	pgrR_1			HTH-type transcriptional regulator PgrR
MHJAIAPH_00354	CDS	1359	jefA			Drug efflux pump JefA
MHJAIAPH_00355	CDS	387				hypothetical protein
MHJAIAPH_00356	CDS	1911	cocE	3.1.1.84		Cocaine esterase
MHJAIAPH_00357	CDS	954	rhaR_2			HTH-type transcriptional activator RhaR
MHJAIAPH_00358	CDS	759	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
MHJAIAPH_00359	CDS	450	sapB		COG1285	Protein SapB
MHJAIAPH_00360	CDS	93				hypothetical protein
MHJAIAPH_00361	CDS	1659	lldP		COG1620	L-lactate permease
MHJAIAPH_00362	CDS	765	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
MHJAIAPH_00363	CDS	1140	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
MHJAIAPH_00364	CDS	1707	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
MHJAIAPH_00365	CDS	885				hypothetical protein
MHJAIAPH_00366	CDS	297				hypothetical protein
MHJAIAPH_00367	CDS	660				hypothetical protein
