locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHGGDNOH_00037	CDS	738				hypothetical protein
EHGGDNOH_00038	CDS	1119	stiP	3.4.22.-		Cysteine protease StiP
EHGGDNOH_00039	CDS	456				hypothetical protein
EHGGDNOH_00040	CDS	906				hypothetical protein
EHGGDNOH_00041	CDS	477				hypothetical protein
EHGGDNOH_00042	CDS	348				hypothetical protein
EHGGDNOH_00043	CDS	1539				hypothetical protein
EHGGDNOH_00044	CDS	1116	ganB	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
EHGGDNOH_00045	CDS	2223	lacZ_1	3.2.1.23		Beta-galactosidase
EHGGDNOH_00046	CDS	2700				hypothetical protein
EHGGDNOH_00047	CDS	1212	cycB_1		COG2182	Cyclodextrin-binding protein
EHGGDNOH_00048	CDS	1056	ccpA_1		COG1609	Catabolite control protein A
EHGGDNOH_00049	CDS	369				hypothetical protein
EHGGDNOH_00050	CDS	780				hypothetical protein
EHGGDNOH_00051	CDS	1341	pbpE_1		COG1680	Penicillin-binding protein 4*
EHGGDNOH_00052	CDS	2250	pflB	2.3.1.54		Formate acetyltransferase
EHGGDNOH_00053	CDS	729	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
EHGGDNOH_00054	CDS	4407				hypothetical protein
EHGGDNOH_00055	CDS	660				hypothetical protein
EHGGDNOH_00056	CDS	1194				hypothetical protein
EHGGDNOH_00057	CDS	1035				hypothetical protein
EHGGDNOH_00058	CDS	261				hypothetical protein
EHGGDNOH_00059	CDS	1203				hypothetical protein
EHGGDNOH_00060	CDS	1011	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
EHGGDNOH_00061	CDS	1881	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EHGGDNOH_00062	CDS	990	dppB_1		COG0601	Dipeptide transport system permease protein DppB
EHGGDNOH_00063	CDS	1635				hypothetical protein
EHGGDNOH_00064	CDS	177				hypothetical protein
EHGGDNOH_00065	CDS	2298				hypothetical protein
EHGGDNOH_00066	CDS	1026	ccpA_2		COG1609	Catabolite control protein A
EHGGDNOH_00067	CDS	1227	nanK_1	2.7.1.60		N-acetylmannosamine kinase
EHGGDNOH_00068	CDS	828				hypothetical protein
EHGGDNOH_00069	CDS	924	manA_1	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
EHGGDNOH_00070	CDS	909	nagK_1	2.7.1.59		N-acetyl-D-glucosamine kinase
EHGGDNOH_00071	CDS	999	rbsR_1		COG1609	Ribose operon repressor
EHGGDNOH_00072	CDS	1281	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
EHGGDNOH_00073	CDS	1314				hypothetical protein
EHGGDNOH_00074	CDS	933	lacF_1			Lactose transport system permease protein LacF
EHGGDNOH_00075	CDS	873	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
EHGGDNOH_00076	CDS	684				hypothetical protein
EHGGDNOH_00077	CDS	639				hypothetical protein
EHGGDNOH_00078	CDS	1230				hypothetical protein
EHGGDNOH_00079	CDS	2496	lacZ_2	3.2.1.23		Beta-galactosidase
EHGGDNOH_00080	CDS	1371				hypothetical protein
EHGGDNOH_00081	CDS	999	rbsR_2		COG1609	Ribose operon repressor
EHGGDNOH_00082	CDS	1239	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
EHGGDNOH_00083	CDS	501				hypothetical protein
EHGGDNOH_00084	CDS	582				hypothetical protein
EHGGDNOH_00085	CDS	705	xecD	1.1.1.268		2-(R)-hydroxypropyl-CoM dehydrogenase
EHGGDNOH_00086	CDS	735	yflN_1	3.-.-.-	COG0491	putative metallo-hydrolase YflN
EHGGDNOH_00087	CDS	276				hypothetical protein
EHGGDNOH_00088	CDS	444				hypothetical protein
EHGGDNOH_00089	CDS	387				hypothetical protein
EHGGDNOH_00090	CDS	1371	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
EHGGDNOH_00091	CDS	1407		4.1.1.105	COG0076	Tryptophan decarboxylase
EHGGDNOH_00092	CDS	1698		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
EHGGDNOH_00093	CDS	171				hypothetical protein
EHGGDNOH_00094	CDS	204				hypothetical protein
EHGGDNOH_00095	CDS	309				hypothetical protein
EHGGDNOH_00096	CDS	993				hypothetical protein
EHGGDNOH_00097	CDS	906				hypothetical protein
EHGGDNOH_00098	CDS	675	mprA_1			Response regulator MprA
EHGGDNOH_00099	CDS	531				hypothetical protein
EHGGDNOH_00100	CDS	681				hypothetical protein
EHGGDNOH_00101	CDS	420				hypothetical protein
EHGGDNOH_00102	CDS	462				hypothetical protein
EHGGDNOH_00103	CDS	1620				hypothetical protein
EHGGDNOH_00104	CDS	1743	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
EHGGDNOH_00105	CDS	252				hypothetical protein
EHGGDNOH_00106	CDS	822				hypothetical protein
EHGGDNOH_00107	CDS	849				hypothetical protein
EHGGDNOH_00108	CDS	1437	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
EHGGDNOH_00109	CDS	678	tcrA_1		COG0745	Transcriptional regulatory protein TcrA
EHGGDNOH_00110	CDS	1107				hypothetical protein
EHGGDNOH_00111	CDS	519				hypothetical protein
EHGGDNOH_00112	CDS	894				hypothetical protein
EHGGDNOH_00113	CDS	912	yegS	2.7.1.-		lipid kinase YegS
EHGGDNOH_00114	CDS	759				hypothetical protein
EHGGDNOH_00115	CDS	408				hypothetical protein
EHGGDNOH_00116	CDS	474				hypothetical protein
EHGGDNOH_00117	CDS	1491				hypothetical protein
EHGGDNOH_00118	CDS	264				hypothetical protein
EHGGDNOH_00119	CDS	477				hypothetical protein
EHGGDNOH_00120	CDS	1719				hypothetical protein
EHGGDNOH_00121	CDS	1083				hypothetical protein
EHGGDNOH_00122	CDS	231				hypothetical protein
EHGGDNOH_00123	CDS	3267	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EHGGDNOH_00124	CDS	624				hypothetical protein
EHGGDNOH_00125	CDS	204				hypothetical protein
EHGGDNOH_00126	CDS	456				hypothetical protein
EHGGDNOH_00127	CDS	471				hypothetical protein
EHGGDNOH_00128	CDS	1593	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
EHGGDNOH_00129	CDS	690	walR_1		COG0745	Transcriptional regulatory protein WalR
EHGGDNOH_00130	CDS	1341	pbpE_2		COG1680	Penicillin-binding protein 4*
EHGGDNOH_00131	CDS	1176				hypothetical protein
EHGGDNOH_00132	CDS	1146				hypothetical protein
EHGGDNOH_00133	CDS	651	basR			Transcriptional regulatory protein BasR
EHGGDNOH_00134	CDS	1302	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
EHGGDNOH_00135	CDS	1185	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
EHGGDNOH_00136	CDS	693	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
EHGGDNOH_00137	CDS	3378				hypothetical protein
EHGGDNOH_00138	CDS	420	hmp_1	1.14.12.17		Flavohemoprotein
EHGGDNOH_00139	CDS	3207				hypothetical protein
EHGGDNOH_00140	CDS	720				hypothetical protein
EHGGDNOH_00141	CDS	1440				hypothetical protein
EHGGDNOH_00142	CDS	849				hypothetical protein
EHGGDNOH_00143	CDS	582	ywqN	1.-.-.-	COG0655	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
EHGGDNOH_00144	CDS	708	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
EHGGDNOH_00145	CDS	1239	tetA_1			Tetracycline resistance protein, class C
EHGGDNOH_00146	CDS	1920				hypothetical protein
EHGGDNOH_00147	CDS	2016	bgaB	3.2.1.23		Beta-galactosidase bgaB
EHGGDNOH_00148	CDS	1266	lacE_1			Lactose-binding protein
EHGGDNOH_00149	CDS	864	lacF_2			Lactose transport system permease protein LacF
EHGGDNOH_00150	CDS	873	lacG_1			Lactose transport system permease protein LacG
EHGGDNOH_00151	CDS	1020	galR_1		COG1609	HTH-type transcriptional regulator GalR
EHGGDNOH_00152	CDS	489				hypothetical protein
EHGGDNOH_00153	CDS	435				hypothetical protein
EHGGDNOH_00154	CDS	405				hypothetical protein
EHGGDNOH_00155	CDS	396				hypothetical protein
EHGGDNOH_00156	CDS	360				hypothetical protein
EHGGDNOH_00157	CDS	567				hypothetical protein
EHGGDNOH_00158	CDS	1719				hypothetical protein
EHGGDNOH_00159	CDS	798				hypothetical protein
EHGGDNOH_00160	CDS	1566				hypothetical protein
EHGGDNOH_00161	CDS	1452				hypothetical protein
EHGGDNOH_00162	CDS	225				hypothetical protein
EHGGDNOH_00163	CDS	600				hypothetical protein
EHGGDNOH_00164	CDS	321				hypothetical protein
EHGGDNOH_00165	CDS	1002	thrB_1	2.7.1.39	COG2334	Homoserine kinase
EHGGDNOH_00166	CDS	891				hypothetical protein
EHGGDNOH_00167	CDS	1233				hypothetical protein
EHGGDNOH_00168	CDS	1314				hypothetical protein
EHGGDNOH_00169	CDS	1044				hypothetical protein
EHGGDNOH_00170	CDS	1368	mdtA			Multidrug resistance protein MdtA
EHGGDNOH_00171	CDS	690	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
EHGGDNOH_00172	CDS	1296	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
EHGGDNOH_00173	CDS	618				hypothetical protein
EHGGDNOH_00174	CDS	780				hypothetical protein
EHGGDNOH_00175	CDS	912	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
EHGGDNOH_00176	CDS	579				hypothetical protein
EHGGDNOH_00177	CDS	360				hypothetical protein
EHGGDNOH_00178	CDS	2319	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
EHGGDNOH_00179	CDS	1494	glpK	2.7.1.30	COG0554	Glycerol kinase
EHGGDNOH_00180	CDS	975	araH_1		COG1172	L-arabinose transport system permease protein AraH
EHGGDNOH_00181	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
EHGGDNOH_00182	CDS	1542	fruK_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
EHGGDNOH_00183	CDS	972	ytfQ_1			ABC transporter periplasmic-binding protein YtfQ
EHGGDNOH_00184	CDS	963				hypothetical protein
EHGGDNOH_00185	CDS	990	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
EHGGDNOH_00186	CDS	720				hypothetical protein
EHGGDNOH_00187	CDS	198				hypothetical protein
EHGGDNOH_00188	CDS	891	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
EHGGDNOH_00189	CDS	606				hypothetical protein
EHGGDNOH_00190	CDS	2622	malT_1		COG2909	HTH-type transcriptional regulator MalT
EHGGDNOH_00191	CDS	741				hypothetical protein
EHGGDNOH_00192	CDS	684	walR_2		COG0745	Transcriptional regulatory protein WalR
EHGGDNOH_00193	CDS	1344	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
EHGGDNOH_00194	CDS	1296				hypothetical protein
EHGGDNOH_00195	CDS	1869	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
EHGGDNOH_00196	CDS	438	rcp1_1			Response regulator rcp1
EHGGDNOH_00197	CDS	2265	cph1	2.7.13.3		Phytochrome-like protein cph1
EHGGDNOH_00198	CDS	579				hypothetical protein
EHGGDNOH_00199	CDS	678				hypothetical protein
EHGGDNOH_00200	CDS	2133				hypothetical protein
EHGGDNOH_00201	CDS	402	exbD		COG0848	Biopolymer transport protein ExbD
EHGGDNOH_00202	CDS	702	tolQ			Tol-Pal system protein TolQ
EHGGDNOH_00203	CDS	507				hypothetical protein
EHGGDNOH_00204	CDS	495				hypothetical protein
EHGGDNOH_00205	CDS	369				hypothetical protein
EHGGDNOH_00206	CDS	249				hypothetical protein
EHGGDNOH_00207	CDS	735	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
EHGGDNOH_00208	CDS	1494	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
EHGGDNOH_00209	CDS	405	dhaM	2.7.1.121	COG3412	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
EHGGDNOH_00210	CDS	1950	ptsG	2.7.1.199		PTS system glucose-specific EIICBA component
EHGGDNOH_00211	CDS	1047				hypothetical protein
EHGGDNOH_00212	CDS	1902				hypothetical protein
EHGGDNOH_00213	CDS	2169	zntA_1	3.6.3.3	COG2217	Zinc/cadmium/lead-transporting P-type ATPase
EHGGDNOH_00214	CDS	513				hypothetical protein
EHGGDNOH_00215	CDS	363	ziaR_1			Transcriptional repressor SmtB 
EHGGDNOH_00216	CDS	2154	malT_2			HTH-type transcriptional regulator MalT
EHGGDNOH_00217	CDS	1422	lpd_1	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
EHGGDNOH_00218	CDS	390				hypothetical protein
EHGGDNOH_00219	CDS	1221				hypothetical protein
EHGGDNOH_00220	CDS	231				hypothetical protein
EHGGDNOH_00221	CDS	1446	uvrB_1			UvrABC system protein B
EHGGDNOH_00222	CDS	408				hypothetical protein
EHGGDNOH_00223	CDS	963	ccp	1.11.1.5	COG1858	Cytochrome c551 peroxidase
EHGGDNOH_00224	CDS	720				hypothetical protein
EHGGDNOH_00225	CDS	975	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
EHGGDNOH_00226	CDS	1263				hypothetical protein
EHGGDNOH_00227	CDS	294				hypothetical protein
EHGGDNOH_00228	CDS	3495				hypothetical protein
EHGGDNOH_00229	CDS	561				hypothetical protein
EHGGDNOH_00230	CDS	945				hypothetical protein
EHGGDNOH_00231	CDS	999	rbsC_2		COG1172	Ribose import permease protein RbsC
EHGGDNOH_00232	CDS	1506	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
EHGGDNOH_00233	CDS	1032	rhaR_1			HTH-type transcriptional activator RhaR
EHGGDNOH_00234	CDS	1020	ccpA_3		COG1609	Catabolite control protein A
EHGGDNOH_00235	CDS	1689				hypothetical protein
EHGGDNOH_00236	CDS	927				hypothetical protein
EHGGDNOH_00237	CDS	777		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
EHGGDNOH_00238	CDS	528				hypothetical protein
EHGGDNOH_00239	CDS	699				hypothetical protein
EHGGDNOH_00240	CDS	405				hypothetical protein
EHGGDNOH_00241	CDS	540			COG1652	putative protein
EHGGDNOH_00242	CDS	969	pomZ		COG1192	Cell division protein PomZ
EHGGDNOH_00243	CDS	885	noc_1			Nucleoid occlusion protein
EHGGDNOH_00244	CDS	726				hypothetical protein
EHGGDNOH_00245	CDS	609				hypothetical protein
EHGGDNOH_00246	CDS	2244	purR_1			HTH-type transcriptional repressor PurR
EHGGDNOH_00247	CDS	972	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
EHGGDNOH_00248	CDS	252				hypothetical protein
EHGGDNOH_00249	CDS	432				hypothetical protein
EHGGDNOH_00250	CDS	804				hypothetical protein
EHGGDNOH_00251	CDS	585	sutR		COG1396	HTH-type transcriptional regulator SutR
EHGGDNOH_00252	CDS	411	amnD	3.5.99.5		2-aminomuconate deaminase
EHGGDNOH_00253	CDS	798				hypothetical protein
EHGGDNOH_00254	CDS	954				hypothetical protein
EHGGDNOH_00255	CDS	1374				hypothetical protein
EHGGDNOH_00256	CDS	840	melR			Melibiose operon regulatory protein
EHGGDNOH_00257	CDS	720				hypothetical protein
EHGGDNOH_00258	CDS	1026	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
EHGGDNOH_00259	CDS	1002				hypothetical protein
EHGGDNOH_00260	CDS	1134	iolW	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW
EHGGDNOH_00261	CDS	1233		3.4.11.-		Aminopeptidase 2
EHGGDNOH_00262	CDS	2361	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
EHGGDNOH_00263	CDS	990	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
EHGGDNOH_00264	CDS	3039	glgB_1	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
EHGGDNOH_00265	CDS	210				hypothetical protein
EHGGDNOH_00266	CDS	1071				hypothetical protein
EHGGDNOH_00267	CDS	354				hypothetical protein
EHGGDNOH_00268	CDS	1029				hypothetical protein
EHGGDNOH_00269	CDS	162				hypothetical protein
EHGGDNOH_00270	CDS	402				hypothetical protein
EHGGDNOH_00271	CDS	918	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
EHGGDNOH_00272	CDS	690				hypothetical protein
EHGGDNOH_00273	CDS	846		4.3.2.3		Ureidoglycolate lyase
EHGGDNOH_00274	CDS	1662				hypothetical protein
EHGGDNOH_00275	CDS	333	trxA_1		COG0526	Thioredoxin
EHGGDNOH_00276	CDS	1104				hypothetical protein
EHGGDNOH_00277	CDS	1371				hypothetical protein
EHGGDNOH_00278	CDS	1296				hypothetical protein
EHGGDNOH_00279	CDS	2490	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
EHGGDNOH_00280	CDS	597				hypothetical protein
EHGGDNOH_00281	CDS	672				hypothetical protein
EHGGDNOH_00282	CDS	375				hypothetical protein
EHGGDNOH_00283	CDS	1035		1.3.1.103		2-haloacrylate reductase
EHGGDNOH_00284	CDS	480				hypothetical protein
EHGGDNOH_00285	CDS	960	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
EHGGDNOH_00286	CDS	618	mhqD	3.1.-.-	COG0400	Putative hydrolase MhqD
EHGGDNOH_00287	CDS	978	mhqO	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqO
EHGGDNOH_00288	CDS	474	mhqR		COG1846	HTH-type transcriptional regulator MhqR
EHGGDNOH_00289	CDS	780	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
EHGGDNOH_00290	CDS	444				hypothetical protein
EHGGDNOH_00291	CDS	147				hypothetical protein
EHGGDNOH_00292	CDS	6420				hypothetical protein
EHGGDNOH_00293	CDS	1167				hypothetical protein
EHGGDNOH_00294	CDS	1410				hypothetical protein
EHGGDNOH_00295	CDS	1860				hypothetical protein
EHGGDNOH_00296	CDS	1374	ntaA	1.14.14.10		Nitrilotriacetate monooxygenase component A
EHGGDNOH_00297	CDS	2229				hypothetical protein
EHGGDNOH_00298	CDS	1434	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
EHGGDNOH_00299	CDS	177				hypothetical protein
EHGGDNOH_00300	CDS	1791			COG1132	putative ABC transporter ATP-binding protein
EHGGDNOH_00301	CDS	348				hypothetical protein
EHGGDNOH_00302	CDS	1953				hypothetical protein
EHGGDNOH_00303	CDS	615				hypothetical protein
EHGGDNOH_00304	CDS	513				hypothetical protein
EHGGDNOH_00305	CDS	2337	pcrA_1	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
EHGGDNOH_00306	CDS	1167	sbnH	4.1.1.117	COG0019	2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase
EHGGDNOH_00307	CDS	1599	sbnE	6.3.2.54	COG4264	L-2,3-diaminopropanoate--citrate ligase
EHGGDNOH_00308	CDS	1128	mdtG			Multidrug resistance protein MdtG
EHGGDNOH_00309	CDS	1632				hypothetical protein
EHGGDNOH_00310	CDS	1200				hypothetical protein
EHGGDNOH_00311	CDS	882	yfmC_1		COG4594	Fe(3+)-citrate-binding protein YfmC
EHGGDNOH_00312	CDS	978	fpuA		COG0614	Petrobactin-binding protein FpuA
EHGGDNOH_00313	CDS	792	viuB		COG2375	Vibriobactin utilization protein ViuB
EHGGDNOH_00314	CDS	690	devR		COG2197	DNA-binding transcriptional activator DevR/DosR
EHGGDNOH_00315	CDS	1197				hypothetical protein
EHGGDNOH_00316	CDS	1788				hypothetical protein
EHGGDNOH_00317	CDS	951				hypothetical protein
EHGGDNOH_00318	CDS	1398				hypothetical protein
EHGGDNOH_00319	CDS	912				hypothetical protein
EHGGDNOH_00320	CDS	792	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
EHGGDNOH_00321	CDS	888	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
EHGGDNOH_00322	CDS	981	yfhA		COG0609	putative siderophore transport system permease protein YfhA
EHGGDNOH_00323	CDS	993	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
EHGGDNOH_00324	CDS	522				hypothetical protein
EHGGDNOH_00325	CDS	792				hypothetical protein
EHGGDNOH_00326	CDS	894	yfmC_2		COG4594	Fe(3+)-citrate-binding protein YfmC
EHGGDNOH_00327	CDS	138				hypothetical protein
EHGGDNOH_00328	CDS	384				hypothetical protein
EHGGDNOH_00329	CDS	300				hypothetical protein
EHGGDNOH_00330	CDS	1635				hypothetical protein
EHGGDNOH_00331	CDS	195				hypothetical protein
EHGGDNOH_00332	CDS	1149				hypothetical protein
EHGGDNOH_00333	CDS	1323	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
EHGGDNOH_00334	CDS	1380	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
EHGGDNOH_00335	CDS	1383		3.5.2.-		D-hydantoinase
EHGGDNOH_00336	CDS	816	cmpC	3.6.3.-	COG0715	Bicarbonate transport ATP-binding protein CmpC
EHGGDNOH_00337	CDS	867				hypothetical protein
EHGGDNOH_00338	CDS	969				hypothetical protein
EHGGDNOH_00339	CDS	1056				hypothetical protein
EHGGDNOH_00340	CDS	1314	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
EHGGDNOH_00341	CDS	759	pucR_1		COG2508	Purine catabolism regulatory protein
EHGGDNOH_00342	CDS	1437	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
EHGGDNOH_00343	CDS	1506	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
EHGGDNOH_00344	CDS	822				hypothetical protein
EHGGDNOH_00345	CDS	1224				hypothetical protein
EHGGDNOH_00346	CDS	576		2.7.1.-	COG3896	Putative O-phosphotransferase
EHGGDNOH_00347	CDS	228				hypothetical protein
EHGGDNOH_00348	CDS	813	glpF		COG0580	Glycerol uptake facilitator protein
EHGGDNOH_00349	CDS	1044				hypothetical protein
EHGGDNOH_00350	CDS	717				hypothetical protein
EHGGDNOH_00351	CDS	1617				hypothetical protein
EHGGDNOH_00352	CDS	192				hypothetical protein
EHGGDNOH_00353	CDS	720				hypothetical protein
EHGGDNOH_00354	CDS	618				hypothetical protein
EHGGDNOH_00355	CDS	540				hypothetical protein
EHGGDNOH_00356	CDS	234				hypothetical protein
EHGGDNOH_00357	CDS	651				hypothetical protein
EHGGDNOH_00358	CDS	483				hypothetical protein
EHGGDNOH_00359	CDS	1731				hypothetical protein
EHGGDNOH_00360	CDS	621	rhiA			Protein RhiA
EHGGDNOH_00361	CDS	1461	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
EHGGDNOH_00362	CDS	1761	malZ_1	3.2.1.20	COG0366	Maltodextrin glucosidase
EHGGDNOH_00363	CDS	537	betI_1			HTH-type transcriptional regulator BetI
EHGGDNOH_00364	CDS	420				hypothetical protein
EHGGDNOH_00365	CDS	195				hypothetical protein
EHGGDNOH_00366	CDS	495	yciF_1		COG3685	Protein YciF
EHGGDNOH_00367	CDS	837	ydaD	1.-.-.-		General stress protein 39
EHGGDNOH_00368	CDS	330				hypothetical protein
EHGGDNOH_00369	CDS	1152	deoB	5.4.2.7	COG1015	Phosphopentomutase
EHGGDNOH_00370	CDS	714	deoD_1	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
EHGGDNOH_00371	CDS	1293	pdp	2.4.2.2		Pyrimidine-nucleoside phosphorylase
EHGGDNOH_00372	CDS	666	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
EHGGDNOH_00373	CDS	906				hypothetical protein
EHGGDNOH_00374	CDS	1866				hypothetical protein
EHGGDNOH_00375	CDS	1557	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
EHGGDNOH_00376	CDS	231				hypothetical protein
EHGGDNOH_00377	CDS	165				hypothetical protein
EHGGDNOH_00378	CDS	897	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
EHGGDNOH_00379	CDS	1026	rbsR_3		COG1609	Ribose operon repressor
EHGGDNOH_00380	CDS	261				hypothetical protein
EHGGDNOH_00381	CDS	972	pfkA_1	2.7.1.11		ATP-dependent 6-phosphofructokinase
EHGGDNOH_00382	CDS	555				hypothetical protein
EHGGDNOH_00383	CDS	1425				hypothetical protein
EHGGDNOH_00384	CDS	882				hypothetical protein
EHGGDNOH_00385	CDS	252				hypothetical protein
EHGGDNOH_00386	CDS	954				hypothetical protein
EHGGDNOH_00387	CDS	891				hypothetical protein
EHGGDNOH_00388	CDS	1905	tgpA	2.3.2.13	COG1305	Protein-glutamine gamma-glutamyltransferase
EHGGDNOH_00389	CDS	2655				hypothetical protein
EHGGDNOH_00390	CDS	783				hypothetical protein
EHGGDNOH_00391	CDS	498				hypothetical protein
EHGGDNOH_00392	CDS	534				hypothetical protein
EHGGDNOH_00393	CDS	468				hypothetical protein
EHGGDNOH_00394	CDS	735				hypothetical protein
EHGGDNOH_00395	CDS	387				hypothetical protein
