locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBFOMCPF_00066	CDS	1104	potA_1	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
IBFOMCPF_00067	CDS	855	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
IBFOMCPF_00068	CDS	801				hypothetical protein
IBFOMCPF_00069	CDS	780	ramA	3.5.1.100		(R)-stereoselective amidase
IBFOMCPF_00070	CDS	954	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
IBFOMCPF_00071	CDS	558		1.-.-.-	COG0431	NAD(P)H-dependent FMN reductase
IBFOMCPF_00072	CDS	1557				hypothetical protein
IBFOMCPF_00073	CDS	876	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
IBFOMCPF_00074	CDS	753	fixK		COG0664	Nitrogen fixation regulation protein FixK
IBFOMCPF_00075	CDS	387				hypothetical protein
IBFOMCPF_00076	CDS	777	cysQ_1	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
IBFOMCPF_00077	CDS	903	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
IBFOMCPF_00078	CDS	1386				hypothetical protein
IBFOMCPF_00079	CDS	888	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
IBFOMCPF_00080	CDS	726	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
IBFOMCPF_00081	CDS	345				hypothetical protein
IBFOMCPF_00082	CDS	1119			COG0683	Leu/Ile/Val-binding protein 
IBFOMCPF_00083	CDS	468	ohrR_1			Organic hydroperoxide resistance transcriptional regulator
IBFOMCPF_00084	CDS	996	cpo_1	1.11.1.10		Non-heme chloroperoxidase
IBFOMCPF_00085	CDS	834	ureD			Urease accessory protein UreD
IBFOMCPF_00086	CDS	303	ureA	3.5.1.5	COG0831	Urease subunit gamma
IBFOMCPF_00087	CDS	255				hypothetical protein
IBFOMCPF_00088	CDS	306	ureB1	3.5.1.5		Urease subunit beta 1
IBFOMCPF_00089	CDS	420				hypothetical protein
IBFOMCPF_00090	CDS	651				hypothetical protein
IBFOMCPF_00091	CDS	1713	ureC1	3.5.1.5		Urease subunit alpha 1
IBFOMCPF_00092	CDS	540		1.11.1.15		Peroxiredoxin
IBFOMCPF_00093	CDS	357				hypothetical protein
IBFOMCPF_00094	CDS	465	ureE1			Urease accessory protein UreE 1
IBFOMCPF_00095	CDS	672	ureF			Urease accessory protein UreF
IBFOMCPF_00096	CDS	612	ureG			Urease accessory protein UreG
IBFOMCPF_00097	CDS	3312	bepE			Efflux pump membrane transporter BepE
IBFOMCPF_00098	CDS	1188	mdtA_1			Multidrug resistance protein MdtA
IBFOMCPF_00099	CDS	993				hypothetical protein
IBFOMCPF_00100	CDS	870	ribX			Riboflavin transport system permease protein RibX
IBFOMCPF_00101	CDS	885				hypothetical protein
IBFOMCPF_00102	CDS	258				hypothetical protein
IBFOMCPF_00103	CDS	792	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
IBFOMCPF_00104	CDS	414				hypothetical protein
IBFOMCPF_00105	CDS	1455	dht	3.5.2.2	COG0044	D-hydantoinase/dihydropyrimidinase
IBFOMCPF_00106	CDS	1251	hyuC_1	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
IBFOMCPF_00107	CDS	642	rutR		COG1309	HTH-type transcriptional regulator RutR
IBFOMCPF_00108	CDS	1719	nqrF_1	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
IBFOMCPF_00109	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
IBFOMCPF_00110	CDS	1023	adh_1	1.1.1.1		Alcohol dehydrogenase
IBFOMCPF_00111	CDS	1314	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
IBFOMCPF_00112	CDS	1362	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
IBFOMCPF_00113	CDS	954	eryD_1		COG2390	Erythritol catabolism regulatory protein EryD
IBFOMCPF_00114	CDS	1311				hypothetical protein
IBFOMCPF_00115	CDS	873	sugA_1		COG1175	Trehalose transport system permease protein SugA
IBFOMCPF_00116	CDS	831	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
IBFOMCPF_00117	CDS	1002	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
IBFOMCPF_00118	CDS	774	polS	1.1.1.-		Sorbitol dehydrogenase
IBFOMCPF_00119	CDS	1485	mtlK_1	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
IBFOMCPF_00120	CDS	669	yieH_1	3.1.3.-	COG0637	6-phosphogluconate phosphatase
IBFOMCPF_00121	CDS	1584	araB_1	2.7.1.16	COG1069	Ribulokinase
IBFOMCPF_00122	CDS	795	phyR_1			Phyllosphere-induced regulator PhyR
IBFOMCPF_00123	CDS	168				hypothetical protein
IBFOMCPF_00124	CDS	555	ecfG_1			ECF RNA polymerase sigma factor EcfG
IBFOMCPF_00125	CDS	1506				hypothetical protein
IBFOMCPF_00126	CDS	432				hypothetical protein
IBFOMCPF_00127	CDS	363				hypothetical protein
IBFOMCPF_00128	CDS	792	hmuV	3.6.3.-		Hemin import ATP-binding protein HmuV
IBFOMCPF_00129	CDS	1119	btuC			Vitamin B12 import system permease protein BtuC
IBFOMCPF_00130	CDS	948	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
IBFOMCPF_00131	CDS	1062	hemS		COG3720	Hemin transport protein HemS
IBFOMCPF_00132	CDS	429				hypothetical protein
IBFOMCPF_00133	CDS	927				hypothetical protein
IBFOMCPF_00134	CDS	414				hypothetical protein
IBFOMCPF_00135	CDS	267				hypothetical protein
IBFOMCPF_00136	CDS	315	isdG	1.14.14.18		Heme oxygenase (staphylobilin-producing)
IBFOMCPF_00137	CDS	363				hypothetical protein
IBFOMCPF_00138	CDS	393	yjbI		COG2346	Group 2 truncated hemoglobin YjbI
IBFOMCPF_00139	CDS	555				hypothetical protein
IBFOMCPF_00140	CDS	342	emrE		COG2076	Multidrug transporter EmrE
IBFOMCPF_00141	CDS	1056				hypothetical protein
IBFOMCPF_00142	CDS	1641	ddpA		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
IBFOMCPF_00143	CDS	1044	dppB_2		COG0601	Dipeptide transport system permease protein DppB
IBFOMCPF_00144	CDS	933	ddpC_1		COG1173	putative D,D-dipeptide transport system permease protein DdpC
IBFOMCPF_00145	CDS	834	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
IBFOMCPF_00146	CDS	768	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
IBFOMCPF_00147	CDS	918	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
IBFOMCPF_00148	CDS	1644	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase 1
IBFOMCPF_00149	CDS	1698	ade	3.5.4.2	COG1001	Adenine deaminase
IBFOMCPF_00150	CDS	1329	bauA_1	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
IBFOMCPF_00151	CDS	534				hypothetical protein
IBFOMCPF_00152	CDS	345	hlyU		COG0640	Transcriptional activator HlyU
IBFOMCPF_00153	CDS	744				hypothetical protein
IBFOMCPF_00154	CDS	1050	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IBFOMCPF_00155	CDS	846	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
IBFOMCPF_00156	CDS	957				hypothetical protein
IBFOMCPF_00157	CDS	588	tdk	2.7.1.21	COG1435	Thymidine kinase
IBFOMCPF_00158	CDS	1089				hypothetical protein
IBFOMCPF_00159	CDS	1149				hypothetical protein
IBFOMCPF_00160	CDS	1917				hypothetical protein
IBFOMCPF_00161	CDS	1290				hypothetical protein
IBFOMCPF_00162	CDS	1221				hypothetical protein
IBFOMCPF_00163	CDS	1707	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
IBFOMCPF_00164	CDS	834				hypothetical protein
IBFOMCPF_00165	CDS	2205	btuB			Vitamin B12 transporter BtuB
IBFOMCPF_00166	CDS	2190	menF	5.4.4.2		Isochorismate synthase MenF
IBFOMCPF_00167	CDS	921	fieF		COG0053	Ferrous-iron efflux pump FieF
IBFOMCPF_00168	CDS	465	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
IBFOMCPF_00169	CDS	489	ypeA	2.3.1.-		Acetyltransferase YpeA
IBFOMCPF_00170	CDS	600				hypothetical protein
IBFOMCPF_00171	CDS	588	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
IBFOMCPF_00172	CDS	1710	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
IBFOMCPF_00173	CDS	828				hypothetical protein
IBFOMCPF_00174	CDS	516	ecfG_2			ECF RNA polymerase sigma factor EcfG
IBFOMCPF_00175	CDS	903	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IBFOMCPF_00176	CDS	492				hypothetical protein
IBFOMCPF_00177	CDS	993	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
IBFOMCPF_00178	CDS	552				hypothetical protein
IBFOMCPF_00179	CDS	2070				hypothetical protein
IBFOMCPF_00180	CDS	2814				hypothetical protein
IBFOMCPF_00181	CDS	921				hypothetical protein
IBFOMCPF_00182	CDS	1014				hypothetical protein
IBFOMCPF_00183	CDS	624				hypothetical protein
IBFOMCPF_00184	CDS	633	nudL	3.6.1.-		putative Nudix hydrolase NudL
IBFOMCPF_00185	CDS	1260	cca	2.7.7.72		CCA-adding enzyme
IBFOMCPF_00186	CDS	186				hypothetical protein
IBFOMCPF_00187	CDS	543	apt	2.4.2.7		Adenine phosphoribosyltransferase
IBFOMCPF_00188	CDS	471				hypothetical protein
IBFOMCPF_00189	CDS	456				hypothetical protein
IBFOMCPF_00190	CDS	1107				hypothetical protein
IBFOMCPF_00191	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
IBFOMCPF_00192	CDS	306	clpS2		COG2127	ATP-dependent Clp protease adapter protein ClpS 2
IBFOMCPF_00193	CDS	720	pth	3.1.1.29		Peptidyl-tRNA hydrolase
IBFOMCPF_00194	CDS	618	rplY		COG1825	50S ribosomal protein L25
IBFOMCPF_00195	CDS	1182	ydcO		COG3135	Inner membrane protein YdcO
IBFOMCPF_00196	CDS	957				hypothetical protein
IBFOMCPF_00197	CDS	1509	adh_2	1.2.1.3	COG1012	Aldehyde dehydrogenase
IBFOMCPF_00198	CDS	378				hypothetical protein
IBFOMCPF_00199	CDS	831			COG2513	putative protein
IBFOMCPF_00200	CDS	933	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
IBFOMCPF_00201	CDS	882				hypothetical protein
IBFOMCPF_00202	CDS	1152	doeA_1	3.5.4.44	COG0006	Ectoine hydrolase
IBFOMCPF_00203	CDS	795		1.10.3.-	COG1496	Polyphenol oxidase
IBFOMCPF_00204	CDS	1104				hypothetical protein
IBFOMCPF_00205	CDS	843	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
IBFOMCPF_00206	CDS	288	ubiK			Ubiquinone biosynthesis accessory factor UbiK
IBFOMCPF_00207	CDS	501				hypothetical protein
IBFOMCPF_00208	CDS	819	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
IBFOMCPF_00209	CDS	342	csaA		COG0073	putative chaperone CsaA
IBFOMCPF_00210	CDS	1383	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IBFOMCPF_00211	CDS	702	ompR_1			Transcriptional regulatory protein OmpR
IBFOMCPF_00212	CDS	477				hypothetical protein
IBFOMCPF_00213	CDS	267				hypothetical protein
IBFOMCPF_00214	CDS	630				hypothetical protein
IBFOMCPF_00215	CDS	156				hypothetical protein
IBFOMCPF_00216	CDS	642	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
IBFOMCPF_00217	CDS	426				hypothetical protein
IBFOMCPF_00218	CDS	216	cspC		COG1278	Cold shock protein CspC
IBFOMCPF_00219	CDS	903				hypothetical protein
IBFOMCPF_00220	CDS	1191	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
IBFOMCPF_00221	CDS	285				hypothetical protein
IBFOMCPF_00222	CDS	198				hypothetical protein
IBFOMCPF_00223	CDS	1203	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
IBFOMCPF_00224	CDS	867	garR_1	1.1.1.60		2-hydroxy-3-oxopropionate reductase
IBFOMCPF_00225	CDS	762		1.1.1.119	COG1028	Glucose 1-dehydrogenase
IBFOMCPF_00226	CDS	891	dmlR_1			HTH-type transcriptional regulator DmlR
IBFOMCPF_00227	CDS	1206	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
IBFOMCPF_00228	CDS	450	yqeY		COG1610	putative protein YqeY
IBFOMCPF_00229	CDS	2004	dnaG	2.7.7.-		DNA primase
IBFOMCPF_00230	CDS	1857	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IBFOMCPF_00231	CDS	1218	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
IBFOMCPF_00232	CDS	1035	tdh_2	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
IBFOMCPF_00233	CDS	2055	rpoD		COG0568	RNA polymerase sigma factor RpoD
IBFOMCPF_00234	CDS	291			COG4274	Glutamine synthetase and cystathionine beta-lyase binding protein
IBFOMCPF_00235	CDS	570				hypothetical protein
IBFOMCPF_00236	CDS	354	ybaA		COG5507	putative protein YbaA
IBFOMCPF_00237	CDS	495				hypothetical protein
IBFOMCPF_00238	CDS	405				hypothetical protein
IBFOMCPF_00239	CDS	357				hypothetical protein
IBFOMCPF_00240	CDS	789			COG2968	26 kDa periplasmic immunogenic protein
IBFOMCPF_00241	tRNA	76				tRNA-Met(cat)
IBFOMCPF_00242	CDS	2868				hypothetical protein
IBFOMCPF_00243	CDS	999				Zinc-type alcohol dehydrogenase-like protein
IBFOMCPF_00244	CDS	300				hypothetical protein
IBFOMCPF_00245	CDS	222				hypothetical protein
IBFOMCPF_00246	CDS	966				hypothetical protein
IBFOMCPF_00247	CDS	438				hypothetical protein
IBFOMCPF_00248	CDS	924				hypothetical protein
IBFOMCPF_00249	CDS	105				hypothetical protein
IBFOMCPF_00250	CDS	453				hypothetical protein
IBFOMCPF_00251	CDS	1086	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IBFOMCPF_00252	CDS	1485				hypothetical protein
IBFOMCPF_00253	CDS	1536				hypothetical protein
IBFOMCPF_00254	CDS	1002				hypothetical protein
IBFOMCPF_00255	CDS	987				hypothetical protein
IBFOMCPF_00256	CDS	714	radA_1			DNA repair protein RadA
IBFOMCPF_00257	CDS	627				hypothetical protein
IBFOMCPF_00258	CDS	573				hypothetical protein
IBFOMCPF_00259	CDS	585				hypothetical protein
IBFOMCPF_00260	CDS	630				hypothetical protein
IBFOMCPF_00261	CDS	237				hypothetical protein
IBFOMCPF_00262	CDS	810	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
IBFOMCPF_00263	CDS	1827				hypothetical protein
IBFOMCPF_00264	CDS	216				hypothetical protein
IBFOMCPF_00265	CDS	1215				hypothetical protein
IBFOMCPF_00266	CDS	234				hypothetical protein
IBFOMCPF_00267	CDS	795				hypothetical protein
IBFOMCPF_00268	CDS	1314				hypothetical protein
IBFOMCPF_00269	CDS	480				hypothetical protein
IBFOMCPF_00270	CDS	792	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
IBFOMCPF_00271	CDS	597				hypothetical protein
IBFOMCPF_00272	CDS	363				hypothetical protein
IBFOMCPF_00273	CDS	1284	mdeA	4.4.1.11		L-methionine gamma-lyase
IBFOMCPF_00274	CDS	1680				hypothetical protein
IBFOMCPF_00275	CDS	852	hdfR_1			HTH-type transcriptional regulator HdfR
IBFOMCPF_00276	CDS	2448	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
IBFOMCPF_00277	CDS	2448	abo_2	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
IBFOMCPF_00278	CDS	1545	mtgB_1	2.1.1.-	COG5598	Glycine betaine methyltransferase
IBFOMCPF_00279	CDS	522				hypothetical protein
IBFOMCPF_00280	CDS	1137				hypothetical protein
IBFOMCPF_00281	CDS	732				hypothetical protein
IBFOMCPF_00282	CDS	2175	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
IBFOMCPF_00283	CDS	1428	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
IBFOMCPF_00284	CDS	816	ydcV_1			Inner membrane ABC transporter permease protein YdcV
IBFOMCPF_00285	CDS	951	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
IBFOMCPF_00286	CDS	996	potA_2	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
IBFOMCPF_00287	CDS	1161	ydcS	2.3.1.-		Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein
IBFOMCPF_00288	CDS	909	oxyR_1			Hydrogen peroxide-inducible genes activator
IBFOMCPF_00289	CDS	1023	purR_1			HTH-type transcriptional repressor PurR
IBFOMCPF_00290	CDS	1335				hypothetical protein
IBFOMCPF_00291	CDS	948	melD_2		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
IBFOMCPF_00292	CDS	942				hypothetical protein
IBFOMCPF_00293	CDS	189				hypothetical protein
IBFOMCPF_00294	CDS	1098	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
IBFOMCPF_00295	CDS	996	malK_2	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
IBFOMCPF_00296	CDS	1638	dhaK	2.7.1.29		Dihydroxyacetone kinase
IBFOMCPF_00297	CDS	924	aes_1	3.1.1.-		Acetyl esterase
IBFOMCPF_00298	CDS	414				hypothetical protein
IBFOMCPF_00299	CDS	1998				hypothetical protein
IBFOMCPF_00300	CDS	1590	sgrR_1			HTH-type transcriptional regulator SgrR
IBFOMCPF_00301	CDS	795				hypothetical protein
IBFOMCPF_00302	CDS	1632	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
IBFOMCPF_00303	CDS	828	ddpC_2		COG1173	putative D,D-dipeptide transport system permease protein DdpC
IBFOMCPF_00304	CDS	1110	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
IBFOMCPF_00305	CDS	1590	dppA_1		COG0747	Periplasmic dipeptide transport protein
IBFOMCPF_00306	CDS	783	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
IBFOMCPF_00307	CDS	2064	FCS1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
IBFOMCPF_00308	CDS	1161	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
IBFOMCPF_00309	CDS	1491	lcdH	1.1.1.108		L-carnitine dehydrogenase
IBFOMCPF_00310	CDS	903	kce_1	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
IBFOMCPF_00311	CDS	972	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
IBFOMCPF_00312	CDS	762	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
IBFOMCPF_00313	CDS	819	ydcV_2			Inner membrane ABC transporter permease protein YdcV
IBFOMCPF_00314	CDS	867	potB_2		COG1176	Spermidine/putrescine transport system permease protein PotB
IBFOMCPF_00315	CDS	1164				hypothetical protein
IBFOMCPF_00316	CDS	1080	potA_3	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
IBFOMCPF_00317	CDS	804				hypothetical protein
IBFOMCPF_00318	CDS	987	eryD_2		COG2390	Erythritol catabolism regulatory protein EryD
IBFOMCPF_00319	CDS	1446	eltP			Erythritol/L-threitol-binding protein
IBFOMCPF_00320	CDS	924	sugA_2		COG1175	Trehalose transport system permease protein SugA
IBFOMCPF_00321	CDS	858	sugB_1		COG0395	Trehalose transport system permease protein SugB
IBFOMCPF_00322	CDS	1119	ugpC_2	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
IBFOMCPF_00323	CDS	1125	sugC_2	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
IBFOMCPF_00324	CDS	1578	eryA	2.7.1.215		Erythritol kinase
IBFOMCPF_00325	CDS	1038		1.17.1.9		Formate dehydrogenase, mitochondrial
IBFOMCPF_00326	CDS	669	ald2_1	4.1.2.-	COG0235	5-(methylthio)ribulose-1-phosphate aldolase
IBFOMCPF_00327	CDS	1539	eryB_1	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
IBFOMCPF_00328	CDS	1056				hypothetical protein
IBFOMCPF_00329	CDS	1284	PSK	2.7.1.47	COG1070	D-ribulose kinase
IBFOMCPF_00330	CDS	846				hypothetical protein
IBFOMCPF_00331	CDS	939	eryC	5.1.3.38		D-erythrulose 1-phosphate 3-epimerase
IBFOMCPF_00332	CDS	786	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
IBFOMCPF_00333	CDS	768	eryH	5.3.1.33		L-erythrulose-1-phosphate isomerase
IBFOMCPF_00334	CDS	438	eryI	5.3.1.34	COG0698	D-erythrulose-4-phosphate isomerase
IBFOMCPF_00335	CDS	2232	fhuA_2		COG1629	Ferrichrome outer membrane transporter/phage receptor
IBFOMCPF_00336	CDS	885	rhaS_1			HTH-type transcriptional activator RhaS
IBFOMCPF_00337	CDS	474	ribH2	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 2
IBFOMCPF_00338	CDS	1062	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IBFOMCPF_00339	CDS	789				hypothetical protein
IBFOMCPF_00340	CDS	882	cysW_1		COG4208	Sulfate transport system permease protein CysW
IBFOMCPF_00341	CDS	1104			COG1840	putative protein
IBFOMCPF_00342	CDS	879				hypothetical protein
